event_id,Source,Classification code,Date reported (from filename),Impact start date,Impact end date,Extracted impact description,Places affected,SP_NAME,MP_NAME,Metropolitan/District area,Direct quote,Source document full name (on CASCADE G-DRIVE),Link to the online source,Publication title,Reviewer initials,Impact date verified,Place name verified,Notes (if issues identified),ValidationSheet,year,impact_category_label,sp_norm,mp_norm,mn_norm
EVT-00011,SAWS,1.3,2011-06-01,2011-06-08,,Central business district flooded with water flowing through buildings and moving furniture.,Knysna,,,Garden Route,"""In Knysna the central business district was flooded with water flowing through some buildings taking furniture and tables with it.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00012,SAWS,1.3,2011-06-01,2011-06-08,,Multiple major roads and mountain passes closed and not passable due to flooding.,Ladismith,,,Garden Route,"""Several roads and at least four passes were closed, including the Garcia's Pass between Riversdal and Ladismith, the Robertson Pass, Swartberg Pass and Montagu pass, as well as the road between Ashton and Montagu.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00013,SAWS,1.3,2011-06-01,2011-06-08,,Multiple major roads and mountain passes closed and not passable due to flooding.,Montagu,,,Cape Winelands,"""Several roads and at least four passes were closed, including the Garcia's Pass between Riversdal and Ladismith, the Robertson Pass, Swartberg Pass and Montagu pass, as well as the road between Ashton and Montagu.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,cape winelands
EVT-00014,SAWS,1.3,2011-06-01,2011-06-08,,Roads were submerged and motorists were unable to reach schools.,Mossel Bay,,,Garden Route,"""Roads were submerged, houses flooded, schools closed and people evacuated from formal as well as informal housing... In the Western Cape 41 schools were closed temporarily due to the severe weather conditions while another 35 schools were disrupted when both teachers and learners could not reach the schools following the flooding of roads and bridges.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00015,SAWS,1.3,2011-06-01,2011-06-08,,Roads were submerged and motorists were unable to reach schools.,Riversdal,,,Garden Route,"""Roads were submerged, houses flooded, schools closed and people evacuated from formal as well as informal housing... In the Western Cape 41 schools were closed temporarily due to the severe weather conditions while another 35 schools were disrupted when both teachers and learners could not reach the schools following the flooding of roads and bridges.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00016,SAWS,1.3,2011-06-01,2011-06-08,,Multiple major roads and mountain passes closed and not passable due to flooding.,Riversdal,,,Garden Route,"""Several roads and at least four passes were closed, including the Garcia's Pass between Riversdal and Ladismith, the Robertson Pass, Swartberg Pass and Montagu pass, as well as the road between Ashton and Montagu.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00017,SAWS,1.3,2011-06-01,2011-06-08,,Multiple major roads and mountain passes closed and not passable due to flooding.,Robertson Pass,,,Garden Route,"""Several roads and at least four passes were closed, including the Garcia's Pass between Riversdal and Ladismith, the Robertson Pass, Swartberg Pass and Montagu pass, as well as the road between Ashton and Montagu.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00018,SAWS,1.3,2011-06-01,2011-06-08,,Multiple major roads and mountain passes closed and not passable due to flooding.,Swartberg Pass,,,Garden Route,"""Several roads and at least four passes were closed, including the Garcia's Pass between Riversdal and Ladismith, the Robertson Pass, Swartberg Pass and Montagu pass, as well as the road between Ashton and Montagu.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Buildings/homes/roads flooded or damaged,,,garden route
EVT-00019,SAWS,1.4,2011-06-01,2011-06-15,,Supporting wall of a home suffered structural failure due to flooding.,Hout Bay,,Hout Bay,City of Cape Town,"""A resident in Imizamo Yethu, Hout Bay lost her home when one of the supporting walls gave way to the flooding.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Infrastructure/service disruption,,hout bay,city of cape town
EVT-00020,SAWS,1.4,2011-06-01,2011-06-15,,Supporting wall of a home suffered structural failure due to flooding.,Imizamo Yethu,,Imizamo Yethu,City of Cape Town,"""A resident in Imizamo Yethu, Hout Bay lost her home when one of the supporting walls gave way to the flooding.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Infrastructure/service disruption,,imizamo yethu,city of cape town
EVT-00021,SAWS,1.6,2011-06-01,2011-06-15,,Visible structural damage to a building caused by a mudslide.,Hout Bay,,Hout Bay,City of Cape Town,"""A luxury guest-house in Hout Bay was damaged by a mudslide on the 15th.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Homes damaged or destroyed,,hout bay,city of cape town
EVT-00022,SAWS,1.7,2011-06-01,2011-06-15,,According to reports a total of 1895 households and 7300 people were affected,Crossroads,,Crossroads,City of Cape Town,"""During the second week more than 22 informal settlements including some in Strand, Khayelitsha,Gugulethu, Crossroads and Phillipi were affected. According to reports a total of 1895 households and 7300 people were affected.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,crossroads,city of cape town
EVT-00023,SAWS,1.7,2011-06-01,2011-06-15,,According to reports a total of 1895 households and 7300 people were affected,Gugulethu,,Gugulethu,City of Cape Town,"""During the second week more than 22 informal settlements including some in Strand, Khayelitsha,Gugulethu, Crossroads and Phillipi were affected. According to reports a total of 1895 households and 7300 people were affected.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,gugulethu,city of cape town
EVT-00024,SAWS,1.7,2011-06-01,2011-06-15,,Partial structural failure of a home where a supporting wall collapsed due to flooding.,Hout Bay,,Hout Bay,City of Cape Town,"""A resident in Imizamo Yethu, Hout Bay lost her home when one of the supporting walls gave way to the flooding.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,hout bay,city of cape town
EVT-00025,SAWS,1.7,2011-06-01,2011-06-15,,Partial structural failure of a home where a supporting wall collapsed due to flooding.,Imizamo Yethu,,Imizamo Yethu,City of Cape Town,"""A resident in Imizamo Yethu, Hout Bay lost her home when one of the supporting walls gave way to the flooding.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,imizamo yethu,city of cape town
EVT-00026,SAWS,1.7,2011-06-01,2011-06-15,,According to reports a total of 1895 households and 7300 people were affected,Khayelitsha,,Khayelitsha,City of Cape Town,"""During the second week more than 22 informal settlements including some in Strand, Khayelitsha,Gugulethu, Crossroads and Phillipi were affected. According to reports a total of 1895 households and 7300 people were affected.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,khayelitsha,city of cape town
EVT-00027,SAWS,1.7,2011-06-01,2011-06-15,,According to reports a total of 1895 households and 7300 people were affected,Philippi,,Philippi,City of Cape Town,"""During the second week more than 22 informal settlements including some in Strand, Khayelitsha,Gugulethu, Crossroads and Phillipi were affected. According to reports a total of 1895 households and 7300 people were affected.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,philippi,city of cape town
EVT-00028,SAWS,1.7,2011-06-01,2011-06-15,,According to reports a total of 1895 households and 7300 people were affected,Strand,,Strand,City of Cape Town,"""During the second week more than 22 informal settlements including some in Strand, Khayelitsha,Gugulethu, Crossroads and Phillipi were affected. According to reports a total of 1895 households and 7300 people were affected.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,strand,city of cape town
EVT-00029,SAWS,1.7,2011-06-01,2011-06-15,,Over seven thousand people in low-lying areas were affected by home flooding.,Western Cape,,,Western Cape (General),"""More than 7000 people in low-lying areas of the Western Cape were again affected when their homes were flooded following heavy rain for the second week in a row.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,,western cape general
EVT-00030,SAWS,2.3,2011-06-01,2011-06-08,,Floodwaters flowing through buildings in the central business district transported heavy furniture and tables.,Knysna CBD,,,Garden Route,"""In Knysna the central business district was flooded with water flowing through some buildings taking furniture and tables with it.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,,garden route
EVT-00031,SAWS,3.7,2011-06-01,2011-06-15,,A specific mudslide incident that damaged a luxury guest-house.,Hout Bay,,Hout Bay,City of Cape Town,"""A luxury guest-house in Hout Bay was damaged by a mudslide on the 15th.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Road closure / transport disruption,,hout bay,city of cape town
EVT-00032,SAWS,3.7,2011-06-01,2011-06-15,,Heavy rain led to the occurrence of mudslides in several areas.,Hout Bay,,Hout Bay,City of Cape Town,"""Heavy rain continued disrupt-ing schools and causing mudslides.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Road closure / transport disruption,,hout bay,city of cape town
EVT-00033,SAWS,3.7,2011-06-01,2011-06-15,,Saturated soil conditions and increased run-off caused further flooding.,Western Cape,,,Western Cape (General),"""The persistent rain during the first two weeks of the month resulted in saturated soil and an increase in the run-off causing further flooding.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Road closure / transport disruption,,,western cape general
EVT-00034,SAWS,4.2,2011-06-01,2011-06-15,,According to reports a total of 1895 households and 7300 people were affected,Crossroads,,Crossroads,City of Cape Town,"""During the second week more than 22 informal settlements including some in Strand, Khayelitsha,Gugulethu, Crossroads and Phillipi were affected. According to reports a total of 1895 households and 7300 people were affected.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People/residents affected,,crossroads,city of cape town
EVT-00035,SAWS,4.2,2011-06-01,2011-06-15,,According to reports a total of 1895 households and 7300 people were affected,Gugulethu,,Gugulethu,City of Cape Town,"""During the second week more than 22 informal settlements including some in Strand, Khayelitsha,Gugulethu, Crossroads and Phillipi were affected. According to reports a total of 1895 households and 7300 people were affected.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People/residents affected,,gugulethu,city of cape town
EVT-00036,SAWS,4.2,2011-06-01,2011-06-15,,According to reports a total of 1895 households and 7300 people were affected,Khayelitsha,,Khayelitsha,City of Cape Town,"""During the second week more than 22 informal settlements including some in Strand, Khayelitsha,Gugulethu, Crossroads and Phillipi were affected. According to reports a total of 1895 households and 7300 people were affected.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People/residents affected,,khayelitsha,city of cape town
EVT-00037,SAWS,4.2,2011-06-01,2011-06-15,,According to reports a total of 1895 households and 7300 people were affected,Philippi,,Philippi,City of Cape Town,"""During the second week more than 22 informal settlements including some in Strand, Khayelitsha,Gugulethu, Crossroads and Phillipi were affected. According to reports a total of 1895 households and 7300 people were affected.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People/residents affected,,philippi,city of cape town
EVT-00038,SAWS,4.2,2011-06-01,2011-06-15,,According to reports a total of 1895 households and 7300 people were affected,Strand,,Strand,City of Cape Town,"""During the second week more than 22 informal settlements including some in Strand, Khayelitsha,Gugulethu, Crossroads and Phillipi were affected. According to reports a total of 1895 households and 7300 people were affected.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People/residents affected,,strand,city of cape town
EVT-00039,SAWS,4.3,2011-06-01,2011-06-08,,Forty-one schools were closed temporarily due to severe weather conditions.,Western Cape,,,Western Cape (General),"""In the Western Cape 41 schools were closed temporarily due to the severe weather conditions while another 35 schools were disrupted when both teachers and learners could not reach the schools following the flooding of roads and bridges.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,,western cape general
EVT-00040,SAWS,4.3,2011-06-01,2011-06-15,,Schooling activities were halted because pupils could not reach the school due to floods.,"Kammanassie, Uniondale",,,Garden Route,"""A school in Kammanassie near Uniondale was closed because nearly half of the school's pupils could not reach the school due to the flooding.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,Other / needs review,,,garden route
EVT-00041,SAWS,4.4,2011-06-01,2011-06-08,,People evacuated,George,,,Garden Route,"""Roads were submerged, houses flooded, schools closed and people evacuated from formal as well as informal housing... In the Western Cape 41 schools were closed temporarily due to the severe weather conditions while another 35 schools were disrupted when both teachers and learners could not reach the schools following the flooding of roads and bridges.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People displaced/homeless,,,garden route
EVT-00042,SAWS,4.4,2011-06-01,2011-06-08,,Displaced people were housed in community halls for safety.,George,,,Garden Route,"""A total of 664 people were housed in community halls from the Eden District Municipality, 350 in George and the rest in Mossel Bay.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People displaced/homeless,,,garden route
EVT-00043,SAWS,4.4,2011-06-01,2011-06-08,,Homes were evacuated when storm-water drains failed to channel water.,George,,,Garden Route,"""Homes were evacuated in Lawaaikamp in George when storm-water drains could not channel the water away.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People displaced/homeless,,,garden route
EVT-00044,SAWS,4.4,2011-06-01,2011-06-08,,People evacuated,Knysna,,,Garden Route,"""Roads were submerged, houses flooded, schools closed and people evacuated from formal as well as informal housing... In the Western Cape 41 schools were closed temporarily due to the severe weather conditions while another 35 schools were disrupted when both teachers and learners could not reach the schools following the flooding of roads and bridges.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People displaced/homeless,,,garden route
EVT-00045,SAWS,4.4,2011-06-01,2011-06-08,,Homes were evacuated when storm-water drains failed to channel water.,Lawaaikamp,,,Garden Route,"""Homes were evacuated in Lawaaikamp in George when storm-water drains could not channel the water away.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People displaced/homeless,,,garden route
EVT-00046,SAWS,4.4,2011-06-01,2011-06-08,,People evacuated,Mossel Bay,,,Garden Route,"""Roads were submerged, houses flooded, schools closed and people evacuated from formal as well as informal housing... In the Western Cape 41 schools were closed temporarily due to the severe weather conditions while another 35 schools were disrupted when both teachers and learners could not reach the schools following the flooding of roads and bridges.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People displaced/homeless,,,garden route
EVT-00047,SAWS,4.4,2011-06-01,2011-06-08,,Displaced people were housed in community halls for safety.,Mossel Bay,,,Garden Route,"""A total of 664 people were housed in community halls from the Eden District Municipality, 350 in George and the rest in Mossel Bay.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People displaced/homeless,,,garden route
EVT-00048,SAWS,4.4,2011-06-01,2011-06-08,,People evacuated,Riversdal,,,Garden Route,"""Roads were submerged, houses flooded, schools closed and people evacuated from formal as well as informal housing... In the Western Cape 41 schools were closed temporarily due to the severe weather conditions while another 35 schools were disrupted when both teachers and learners could not reach the schools following the flooding of roads and bridges.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People displaced/homeless,,,garden route
EVT-00049,SAWS,4.4,2011-06-01,2011-06-08,,Formal and informal housing residents were evacuated due to flooding.,Western Cape,,,Western Cape (General),"""Roads were submerged, houses flooded, schools closed and people evacuated from formal as well as informal housing.""",20110601_SAWS_Khayelitsha_Gugulethu_Philippi_Strand.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30493,,,,,,SAWSValidation,2011,People displaced/homeless,,,western cape general
EVT-00050,SAWS,1.3,2012-01-01,2012-01-18,2012-01-19,Houses suffered inundation during a flash flood event.,Hex River Valley,,,Cape Winelands,"""Some houses were also flooded.""",20120101_SAWS_HexRiverValley_HousesFlooded_.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30537,,,,,,SAWSValidation,2012,Buildings/homes/roads flooded or damaged,,,cape winelands
EVT-00051,SAWS,1.5,2012-01-01,2012-01-19,,The road collapsed following a rock slide,De Doorns,,,Cape Winelands,"""The road col-lapsed following a rock slide that started on the mountain and damaged three to four farms.""",20120101_SAWS_HexRiverValley_HousesFlooded_.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30537,,,,,,SAWSValidation,2012,Evacuation / displacement,,,cape winelands
EVT-00052,SAWS,1.6,2012-01-01,2012-01-19,,A rock slide and flooding caused the N1 highway to collapse and be washed away.,De Doorns,,,Cape Winelands,"""Part of the N1 highway near De Doorns was washed away during a rock slide on the 19th. The road collapsed following a rock slide that started on the mountain""",20120101_SAWS_HexRiverValley_HousesFlooded_.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30537,,,,,,SAWSValidation,2012,Homes damaged or destroyed,,,cape winelands
EVT-00053,SAWS,3.4,2012-01-01,2012-01-18,,Extensive damage occurred to vineyards due to a hailstorm and subsequent flooding.,Hex River Valley,,,Cape Winelands,"""Grape farmers in the Hex River Valley in the Western Cape suffered extensive damage to their vine-yards when a hailstorm hit them on the 18th...""",20120101_SAWS_HexRiverValley_HousesFlooded_.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30537,,,,,,SAWSValidation,2012,Other / needs review,,,cape winelands
EVT-00054,SAWS,3.4,2012-01-01,2012-01-18,,Significant partial destruction of crops occurred on a large agricultural farm.,Hex River Valley,,,Cape Winelands,"""The owner of one of the largest farms in the Hex River Valley estimated that about 25% of his crop was damaged.""",20120101_SAWS_HexRiverValley_HousesFlooded_.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30537,,,,,,SAWSValidation,2012,Other / needs review,,,cape winelands
EVT-00055,SAWS,3.7,2012-01-01,2012-01-19,,A rock slide originating on a mountain that caused damage to several farms.,De Doorns,,,Cape Winelands,"""The road collapsed following a rock slide that started on the mountain and damaged three to four farms.""",20120101_SAWS_HexRiverValley_HousesFlooded_.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30537,,,,,,SAWSValidation,2012,Road closure / transport disruption,,,cape winelands
EVT-00056,SAWS,4.3,2012-01-01,2012-01-19,,A highway collapsed and was washed away during a rock slide and flood.,De Doorns,,,Cape Winelands,"""Part of the N1 highway near De Doorns was washed away during a rock slide on the 19th. The road collapsed following a rock slide that started on the mountain""",20120101_SAWS_HexRiverValley_HousesFlooded_.pdf,https://journals.co.za/doi/epdf/10.10520/EJC30537,,,,,,SAWSValidation,2012,Other / needs review,,,cape winelands
EVT-00057,SAWS,1.3,2012-06-01,2012-06-07,2012-06-08,"Major roads rendered not passable, leading to temporary closures.",Chapman's Peak,,Noordhoek/Hout Bay,City of Cape Town,"""Temporary road closures occurred at both Ou Kaapse Weg and Chapman's Peak.""",20120601_SAWS_Khayelitsha_Observatory_Liesbeek_Kanana_Delft_Philippi.pdf,https://journals.co.za/doi/epdf/10.10520/EJC123512,,,,,,SAWSValidation,2012,Buildings/homes/roads flooded or damaged,,noordhoek hout bay,city of cape town
